edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(4450813782, 3225437623, 0)",0.0003910693081431708,PZH01_MST_0129_02,Zuid-Holland,4450813782.0,3225437623.0,0.0
"(43838009, 3226513494, 0)",0.0010336878777188938,PZH01_MST_0605_00,Zuid-Holland,43838009.0,3226513494.0,1625.5714285714287
"(3226513494, 43838009, 0)",0.0009403462830192028,PZH01_MST_0605_01,Zuid-Holland,3226513494.0,43838009.0,1389.5
"(43807078, 4029069557, 0)",0.00019877383074158792,PZH01_MST_0607_00,Zuid-Holland,43807078.0,4029069557.0,1877.2142857142858
"(4029069523, 6556450476, 0)",0.0004124615027426411,PZH01_MST_0607_02,Zuid-Holland,4029069523.0,6556450476.0,959.1428571428571
"(2406819084, 44118390, 0)",0.0003684270995154364,PZH01_MST_0610_00,Zuid-Holland,2406819084.0,44118390.0,
"(44118019, 2406819083, 0)",0.00041440033213812125,PZH01_MST_0610_02,Zuid-Holland,44118019.0,2406819083.0,
"(44130931, 4102752490, 0)",0.968197571565618,PZH01_MST_0613_00,Zuid-Holland,44130931.0,4102752490.0,4802.0
"(4102752490, 44130931, 0)",0.0003451646825773351,PZH01_MST_0613_02,Zuid-Holland,4102752490.0,44130931.0,14.428571428571429
"(44272017, 44273598, 0)",0.0003237726580737375,PZH01_MST_0616_00,Zuid-Holland,44272017.0,44273598.0,1128.9285714285713
"(44272017, 44273598, 0)",0.0002622218526366492,PZH01_MST_0616_01,Zuid-Holland,44272017.0,44273598.0,1701.9285714285713
"(44598259, 2793543933, 0)",4.9164883661151595e-05,PZH01_MST_0622_00,Zuid-Holland,44598259.0,2793543933.0,1909.7857142857142
"(2793543933, 44598259, 0)",2.221981353616037e-05,PZH01_MST_0622_01,Zuid-Holland,2793543933.0,44598259.0,1605.7857142857142
"(702605348, 44743399, 0)",0.0002616019058013677,PZH01_MST_0627_00,Zuid-Holland,702605348.0,44743399.0,1774.2142857142858
"(44743399, 702605348, 0)",0.0002629285658605897,PZH01_MST_0627_01,Zuid-Holland,44743399.0,702605348.0,2786.4285714285716
"(1323906734, 3756188578, 0)",6.0497983121458e-05,PZH01_MST_0640_00,Zuid-Holland,1323906734.0,3756188578.0,1848.857142857143
"(3744579995, 1323906864, 0)",0.0001400508207272856,PZH01_MST_0640_01,Zuid-Holland,3744579995.0,1323906864.0,1927.5714285714287
"(44780140, 44764000, 0)",0.0002173411580942591,PZH01_MST_0645_00,Zuid-Holland,44780140.0,44764000.0,1823.642857142857
"(44780140, 44764000, 0)",0.00023580646240389623,PZH01_MST_0645_01,Zuid-Holland,44780140.0,44764000.0,1744.7857142857142
